#,ST,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
1,Arizona,Bachelor,"$6,979.54",$0.00,$94.00,1/0/00,Personal Auto,Four-Door Car,"$1,131.46"
2,Nevada,Bachelor,"$12,887.43","$48,767.00",$108.00,1/0/00,Personal Auto,Two-Door Car,$566.47
3,California,Bachelor,"$7,645.86",$0.00,$106.00,1/0/00,Corporate Auto,SUV,$529.88
4,Washington,High School or Below,"$5,363.08","$36,357.00",$68.00,1/0/00,Personal Auto,Four-Door Car,$17.27
5,Oregon,Bachelor,"$8,256.30","$62,902.00",$69.00,1/0/00,Personal Auto,Two-Door Car,$159.38
6,Oregon,College,"$5,380.90","$55,350.00",$67.00,1/0/00,Corporate Auto,Four-Door Car,$321.60
7,Arizona,Master,"$7,216.10",$0.00,$101.00,1/0/00,Corporate Auto,Four-Door Car,$363.03
8,Oregon,Bachelor,"$24,127.50","$14,072.00",$71.00,1/0/00,Corporate Auto,Four-Door Car,$511.20
9,Oregon,College,"$7,388.18","$28,812.00",$93.00,1/0/00,Special Auto,Four-Door Car,$425.53
10,California,College,"$4,738.99",$0.00,$67.00,1/0/00,Personal Auto,Four-Door Car,$482.40
11,California,College,"$8,197.20",$0.00,$110.00,1/0/00,Personal Auto,SUV,$528.00
12,California,Master,"$8,798.80","$77,026.00",$110.00,1/2/00,Corporate Auto,Four-Door Car,$472.03
13,Arizona,High School or Below,"$8,819.02","$99,845.00",$110.00,1/1/00,Corporate Auto,SUV,$528.00
14,California,College,"$5,384.43","$83,689.00",$70.00,1/2/00,Corporate Auto,Four-Door Car,$307.14
15,Oregon,Bachelor,"$7,463.14","$24,599.00",$64.00,1/1/00,Corporate Auto,Four-Door Car,$42.92
16,Nevada,High School or Below,"$2,566.87","$25,049.00",$67.00,1/0/00,Personal Auto,Two-Door Car,$454.25
17,California,College,"$3,945.24","$28,855.00",$101.00,1/0/00,Personal Auto,SUV,$647.44
18,Oregon,College,"$5,710.33","$51,148.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$308.98
19,California,High School or Below,"$8,162.62","$66,140.00",$101.00,1/0/00,Corporate Auto,Four-Door Car,$484.80
20,Oregon,High School or Below,"$2,872.05","$57,749.00",$74.00,1/0/00,Personal Auto,Two-Door Car,$355.20
21,Washington,Bachelor,"$6,177.11","$61,040.00",$79.00,1/1/00,Personal Auto,Two-Door Car,$20.38
22,Arizona,Bachelor,"$24,127.50","$14,072.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$511.20
23,Nevada,Bachelor,"$2,450.19",$0.00,$73.00,1/3/00,Corporate Auto,Four-Door Car,$554.38
24,California,Bachelor,"$2,392.11","$17,870.00",$61.00,1/0/00,Corporate Auto,Four-Door Car,$439.20
25,Oregon,College,"$5,802.07","$97,541.00",$72.00,1/0/00,Personal Auto,Four-Door Car,$389.19
26,California,Bachelor,"$3,946.37",$0.00,$111.00,1/0/00,Personal Auto,Four-Door Car,$799.20
27,Washington,College,"$9,162.06","$29,723.00",$80.00,1/0/00,Personal Auto,Four-Door Car,$20.99
28,Arizona,College,"$12,902.56","$86,584.00",$111.00,1/2/00,Personal Auto,Four-Door Car,$532.80
29,Oregon,Master,"$3,235.36","$75,690.00",$80.00,1/1/00,Personal Auto,Four-Door Car,$384.00
30,Arizona,College,"$2,454.58","$23,158.00",$63.00,1/1/00,Personal Auto,Four-Door Car,$322.29
31,Nevada,High School or Below,"$18,975.46","$65,999.00",$237.00,1/0/00,Corporate Auto,Luxury SUV,$615.93
32,California,Bachelor,"$4,715.32",$0.00,$65.00,1/0/00,Personal Auto,Four-Door Car,$308.15
33,Washington,College,"$4,737.87",$0.00,$130.00,1/0/00,Personal Auto,SUV,$23.82
34,Oregon,Bachelor,"$4,932.92","$37,260.00",$62.00,1/0/00,Corporate Auto,Four-Door Car,$15.44
35,Arizona,High School or Below,"$5,744.23","$68,987.00",$71.00,1/0/00,Personal Auto,Four-Door Car,$204.48
36,California,Bachelor,"$13,891.74","$42,305.00",$117.00,1/0/00,Personal Auto,Four-Door Car,$561.60
37,Oregon,Master,"$7,380.98","$65,706.00",$91.00,1/0/00,Personal Auto,Four-Door Car,$436.80
38,Oregon,Bachelor,"$3,090.03",$0.00,$90.00,1/0/00,Personal Auto,Two-Door Car,$648.00
39,Arizona,High School or Below,"$2,521.63","$53,243.00",$66.00,1/2/00,Personal Auto,Four-Door Car,$157.40
40,Nevada,High School or Below,"$2,652.06",$0.00,$70.00,1/1/00,Corporate Auto,Two-Door Car,$484.32
41,Oregon,College,"$2,771.05","$50,071.00",$71.00,1/0/00,Corporate Auto,Two-Door Car,$18.92
42,California,Bachelor,"$3,939.01","$60,021.00",$99.00,1/0/00,Personal Auto,Four-Door Car,$882.87
43,Arizona,High School or Below,"$12,231.88","$43,244.00",$103.00,1/0/00,Personal Auto,Sports Car,$494.40
